Date,Disease,Age Group,Admissions
2020-01-11,Infections,19-35,7
2020-01-12,Cardiac Issues,19-35,9
2020-01-12,Infections,51-65,10
2020-01-12,Flu,51-65,22
2020-01-12,Diabetes,0-18,8
2020-01-12,Diabetes,36-50,7
2020-01-12,Diabetes,19-35,2
2020-01-12,Cardiac Issues,0-18,10
2020-01-12,Infections,nan,10
2020-01-12,Pneumonia,nan,26
2020-01-12,Diabetes,19-35,6
2020-01-12,Cardiac Issues,51-65,5
2020-01-12,Flu,66+,21
2020-01-12,Diabetes,66+,7
2020-01-12,Diabetes,nan,13
2020-01-13,Cardiac Issues,51-65,13
2020-01-13,Pneumonia,51-65,19
2020-01-13,Cardiac Issues,0-18,8
2020-01-13,Cardiac Issues,51-65,10
2020-01-13,Pneumonia,66+,18
2020-01-13,Diabetes,66+,1
2020-01-13,Pneumonia,19-35,10
2020-01-13,Pneumonia,nan,25
2020-01-14,Infections,66+,1
2020-01-14,Infections,66+,6
2020-01-14,Infections,36-50,12
2020-01-14,Pneumonia,36-50,14
2020-01-14,Flu,66+,23
2020-01-14,Diabetes,66+,1
2020-01-14,Diabetes,66+,12
2020-01-14,Pneumonia,19-35,25
2020-01-14,Infections,51-65,1
2020-01-14,Infections,19-35,10
2020-01-14,Infections,51-65,2
2020-01-14,Diabetes,19-35,10
2020-01-14,Cardiac Issues,19-35,1
2020-01-15,Infections,66+,4
2020-01-15,Pneumonia,0-18,29
2020-01-15,Diabetes,19-35,3
2020-01-15,Diabetes,0-18,1
2020-01-15,Infections,36-50,11
2020-01-15,Infections,51-65,3
2020-01-15,Flu,0-18,17
2020-01-15,Pneumonia,36-50,21
2020-01-15,Infections,66+,12
2020-01-15,Pneumonia,66+,28
2020-01-15,Pneumonia,36-50,26
2020-01-15,Pneumonia,66+,19
2020-01-16,Pneumonia,36-50,18
2020-01-16,Diabetes,19-35,5
2020-01-16,Pneumonia,66+,20
2020-01-16,Infections,51-65,9
2020-01-16,Infections,66+,9
2020-01-16,Diabetes,19-35,5
2020-01-16,Flu,36-50,26
2020-01-16,Cardiac Issues,51-65,2
2020-01-16,Flu,nan,14
2020-01-16,Diabetes,0-18,7
2020-01-16,Infections,0-18,3
2020-01-16,Flu,nan,26
2020-01-16,Flu,nan,29
2020-01-16,Flu,nan,22
2020-01-17,Cardiac Issues,0-18,4
2020-01-17,Diabetes,66+,9
2020-01-17,Cardiac Issues,51-65,9
2020-01-17,Diabetes,nan,4
2020-01-17,Cardiac Issues,19-35,5
2020-01-17,Infections,36-50,12
2020-01-17,Flu,51-65,13
2020-01-17,Infections,0-18,7
2020-01-17,Infections,66+,10
2020-01-17,Pneumonia,nan,14
2020-01-17,Cardiac Issues,66+,11
2020-01-17,Cardiac Issues,19-35,12
2020-01-17,Flu,19-35,21
2020-01-17,Flu,66+,15
2020-01-17,Infections,19-35,9
2020-01-18,Cardiac Issues,19-35,2
2020-01-18,Infections,66+,5
2020-01-18,Cardiac Issues,66+,1
2020-01-18,Diabetes,0-18,7
2020-01-18,Flu,66+,13
2020-01-18,Diabetes,nan,12
2020-01-19,Cardiac Issues,66+,12
2020-01-19,Cardiac Issues,19-35,10
2020-01-19,Cardiac Issues,nan,3
2020-01-19,Infections,66+,2
2020-01-19,Diabetes,nan,10
2020-01-19,Diabetes,51-65,8
2020-01-19,Infections,0-18,7
2020-01-19,Flu,36-50,22
2020-01-19,Diabetes,nan,9
2020-01-19,Diabetes,0-18,9
2020-01-19,Flu,nan,15
2020-01-19,Pneumonia,51-65,22
2020-01-19,Infections,66+,5
2020-01-19,Infections,36-50,12
2020-01-19,Infections,51-65,3
2020-01-19,Cardiac Issues,51-65,9
2020-01-19,Pneumonia,0-18,26
2020-01-19,Flu,66+,12
2020-01-19,Flu,36-50,21
2020-01-20,Diabetes,51-65,5
2020-01-20,Pneumonia,51-65,13
2020-01-20,Pneumonia,19-35,27
2020-01-20,Diabetes,51-65,5
2020-01-20,Flu,51-65,26
2020-01-20,Flu,0-18,29
2020-01-20,Infections,51-65,13
2020-01-20,Infections,nan,3
2020-01-20,Infections,nan,2
2020-01-20,Cardiac Issues,66+,9
2020-01-20,Pneumonia,19-35,27
2020-01-20,Cardiac Issues,66+,5
2020-01-20,Flu,nan,10
2020-01-20,Pneumonia,0-18,20
2020-01-21,Pneumonia,0-18,26
2020-01-21,Infections,0-18,2
2020-01-21,Flu,36-50,10
2020-01-21,Infections,nan,12
2020-01-21,Flu,66+,14
2020-01-21,Cardiac Issues,66+,7
2020-01-21,Infections,66+,5
2020-01-21,Pneumonia,19-35,28
2020-01-21,Flu,66+,23
2020-01-22,Flu,36-50,22
2020-01-22,Infections,51-65,14
2020-01-22,Flu,0-18,17
2020-01-22,Pneumonia,51-65,17
2020-01-22,Pneumonia,19-35,11
2020-01-22,Cardiac Issues,36-50,2
2020-01-22,Diabetes,0-18,6
2020-01-22,Diabetes,66+,14
2020-01-22,Cardiac Issues,0-18,1
2020-01-22,Infections,66+,14
2020-01-22,Pneumonia,36-50,28
2020-01-22,Diabetes,19-35,6
2020-01-22,Pneumonia,19-35,27
2020-01-23,Cardiac Issues,36-50,2
2020-01-23,Diabetes,0-18,6
2020-01-23,Flu,51-65,19
2020-01-23,Cardiac Issues,0-18,5
2020-01-23,Infections,51-65,10
2020-01-23,Flu,19-35,26
2020-01-23,Diabetes,51-65,8
2020-01-23,Infections,19-35,6
2020-01-23,Infections,19-35,13
2020-01-23,Cardiac Issues,36-50,11
2020-01-23,Cardiac Issues,0-18,7
2020-01-23,Cardiac Issues,nan,8
2020-01-23,Diabetes,51-65,8
2020-01-23,Flu,36-50,12
2020-01-23,Cardiac Issues,66+,2
2020-01-23,Infections,19-35,3
2020-01-23,Cardiac Issues,66+,5
2020-01-23,Pneumonia,51-65,19
2020-01-24,Infections,nan,1
2020-01-24,Infections,0-18,12
2020-01-24,Pneumonia,nan,11
2020-01-24,Flu,nan,22
2020-01-24,Cardiac Issues,0-18,10
2020-01-24,Flu,0-18,24
2020-01-24,Cardiac Issues,66+,1
2020-01-24,Pneumonia,51-65,10
2020-01-24,Flu,36-50,29
2020-01-24,Pneumonia,51-65,23
2020-01-24,Pneumonia,66+,23
2020-01-24,Cardiac Issues,36-50,7
2020-01-24,Cardiac Issues,nan,11
2020-01-24,Diabetes,66+,2
2020-01-24,Pneumonia,nan,12
2020-01-24,Cardiac Issues,0-18,7
2020-01-24,Infections,51-65,10
2020-01-25,Flu,0-18,16
2020-01-25,Pneumonia,nan,21
2020-01-25,Flu,0-18,22
2020-01-25,Diabetes,0-18,4
2020-01-25,Pneumonia,36-50,18
2020-01-25,Infections,19-35,4
2020-01-25,Pneumonia,0-18,21
2020-01-25,Cardiac Issues,19-35,9
2020-01-25,Infections,nan,4
2020-01-25,Pneumonia,19-35,22
2020-01-25,Infections,0-18,1
2020-01-26,Infections,nan,6
2020-01-26,Diabetes,nan,11
2020-01-26,Flu,36-50,28
2020-01-26,Infections,51-65,8
2020-01-26,Pneumonia,51-65,20
2020-01-26,Diabetes,nan,6
2020-01-26,Flu,nan,15
2020-01-26,Cardiac Issues,nan,9
2020-01-26,Pneumonia,36-50,17
2020-01-27,Cardiac Issues,66+,12
2020-01-27,Infections,nan,10
2020-01-27,Diabetes,36-50,4
2020-01-27,Flu,51-65,26
2020-01-27,Diabetes,0-18,10
2020-01-27,Infections,nan,11
2020-01-27,Diabetes,66+,11
2020-01-27,Cardiac Issues,0-18,6
2020-01-27,Pneumonia,19-35,14
2020-01-27,Pneumonia,51-65,11
2020-01-27,Infections,19-35,4
2020-01-27,Flu,66+,18
2020-01-27,Flu,0-18,20
2020-01-27,Cardiac Issues,nan,1
2020-01-28,Diabetes,51-65,2
2020-01-28,Infections,36-50,9
2020-01-28,Pneumonia,51-65,12
2020-01-28,Cardiac Issues,0-18,8
2020-01-28,Diabetes,66+,8
2020-01-28,Cardiac Issues,0-18,5
2020-01-28,Diabetes,nan,3
2020-01-28,Infections,66+,5
2020-01-28,Cardiac Issues,36-50,14
2020-01-29,Diabetes,0-18,13
2020-01-29,Pneumonia,0-18,27
2020-01-29,Cardiac Issues,66+,6
2020-01-29,Flu,0-18,26
2020-01-29,Flu,19-35,23
2020-01-29,Infections,36-50,7
2020-01-29,Cardiac Issues,nan,6
2020-01-29,Cardiac Issues,36-50,8
2020-01-29,Pneumonia,51-65,24
2020-01-29,Infections,0-18,4
2020-01-29,Cardiac Issues,51-65,13
2020-01-29,Flu,0-18,14
2020-01-29,Cardiac Issues,0-18,14
2020-01-29,Diabetes,nan,2
2020-01-30,Infections,36-50,10
2020-01-30,Flu,nan,15
2020-01-30,Infections,51-65,13
2020-01-30,Diabetes,66+,8
2020-01-30,Infections,66+,4
2020-01-30,Diabetes,66+,2
2020-01-30,Cardiac Issues,36-50,3
2020-01-30,Diabetes,51-65,10
2020-01-30,Cardiac Issues,36-50,5
2020-01-30,Diabetes,36-50,14
2020-01-30,Pneumonia,nan,15
2020-01-30,Pneumonia,nan,20
2020-01-30,Diabetes,19-35,13
2020-01-30,Pneumonia,0-18,10
2020-01-31,Diabetes,36-50,12
2020-01-31,Diabetes,51-65,4
2020-01-31,Infections,66+,8
2020-01-31,Pneumonia,0-18,18
2020-01-31,Cardiac Issues,66+,14
2020-01-31,Flu,nan,20
2020-01-31,Flu,nan,14
2020-01-31,Infections,19-35,14
2020-01-31,Diabetes,nan,7
2020-01-31,Flu,0-18,28
2020-01-31,Infections,0-18,5
2020-01-31,Flu,19-35,29
2020-01-31,Flu,66+,18
2020-01-31,Cardiac Issues,51-65,9
2020-01-31,Pneumonia,36-50,15
2020-01-31,Pneumonia,19-35,11
2020-01-31,Cardiac Issues,0-18,11
2020-01-31,Cardiac Issues,51-65,11
2020-01-31,Cardiac Issues,nan,8
2020-02-01,Diabetes,nan,5
2020-02-01,Flu,0-18,20
2020-02-01,Pneumonia,51-65,27
2020-02-01,Infections,0-18,7
2020-02-01,Flu,51-65,18
2020-02-01,Flu,51-65,17
2020-02-01,Flu,0-18,22
2020-02-01,Cardiac Issues,36-50,8
2020-02-01,Cardiac Issues,nan,14
2020-02-01,Infections,0-18,13
2020-02-01,Infections,nan,8
2020-02-01,Cardiac Issues,19-35,1
2020-02-01,Cardiac Issues,19-35,2
2020-02-02,Diabetes,0-18,2
2020-02-02,Cardiac Issues,51-65,1
2020-02-02,Infections,36-50,10
2020-02-02,Pneumonia,36-50,23
2020-02-02,Pneumonia,51-65,10
2020-02-02,Diabetes,19-35,7
2020-02-02,Infections,0-18,9
2020-02-02,Cardiac Issues,36-50,13
2020-02-02,Flu,66+,12
2020-02-02,Cardiac Issues,0-18,12
2020-02-03,Pneumonia,36-50,23
2020-02-03,Cardiac Issues,51-65,4
2020-02-03,Infections,nan,5
2020-02-03,Pneumonia,19-35,16
2020-02-03,Flu,66+,28
2020-02-03,Infections,36-50,4
2020-02-03,Infections,51-65,2
2020-02-03,Pneumonia,0-18,24
2020-02-03,Infections,51-65,11
2020-02-03,Pneumonia,19-35,12
2020-02-03,Diabetes,51-65,5
2020-02-03,Infections,nan,14
2020-02-03,Flu,19-35,21
2020-02-03,Cardiac Issues,51-65,10
2020-02-03,Diabetes,0-18,10
2020-02-03,Cardiac Issues,nan,7
2020-02-03,Flu,19-35,28
2020-02-03,Flu,nan,18
2020-02-03,Pneumonia,66+,16
2020-02-04,Cardiac Issues,nan,4
2020-02-04,Pneumonia,19-35,22
2020-02-04,Pneumonia,66+,20
2020-02-04,Pneumonia,66+,19
2020-02-04,Diabetes,0-18,6
2020-02-04,Pneumonia,0-18,14
2020-02-04,Flu,nan,21
2020-02-04,Infections,19-35,6
2020-02-04,Infections,36-50,9
2020-02-04,Cardiac Issues,19-35,12
2020-02-04,Infections,0-18,5
2020-02-04,Pneumonia,66+,26
2020-02-04,Pneumonia,66+,23
2020-02-05,Diabetes,nan,11
2020-02-05,Flu,36-50,13
2020-02-05,Cardiac Issues,19-35,13
2020-02-05,Infections,36-50,8
2020-02-05,Cardiac Issues,51-65,1
2020-02-05,Cardiac Issues,36-50,6
2020-02-06,Infections,0-18,10
2020-02-06,Diabetes,51-65,3
2020-02-06,Cardiac Issues,51-65,11
2020-02-06,Flu,nan,22
2020-02-06,Cardiac Issues,19-35,9
2020-02-06,Pneumonia,19-35,18
2020-02-07,Flu,0-18,20
2020-02-07,Pneumonia,0-18,16
2020-02-07,Cardiac Issues,36-50,2
2020-02-07,Infections,51-65,12
2020-02-07,Cardiac Issues,nan,6
2020-02-07,Pneumonia,51-65,28
2020-02-07,Infections,51-65,11
2020-02-07,Cardiac Issues,0-18,13
2020-02-07,Flu,19-35,26
2020-02-07,Diabetes,nan,8
2020-02-07,Cardiac Issues,66+,1
2020-02-07,Infections,nan,6
2020-02-07,Flu,19-35,21
2020-02-08,Cardiac Issues,19-35,9
2020-02-08,Infections,19-35,10
2020-02-08,Flu,19-35,16
2020-02-08,Infections,0-18,3
2020-02-08,Pneumonia,36-50,27
2020-02-08,Diabetes,36-50,2
2020-02-08,Cardiac Issues,19-35,7
2020-02-08,Flu,nan,12
2020-02-08,Diabetes,51-65,13
2020-02-08,Pneumonia,36-50,14
2020-02-08,Cardiac Issues,19-35,7
2020-02-08,Diabetes,0-18,4
2020-02-08,Infections,nan,9
2020-02-08,Infections,19-35,1
2020-02-08,Infections,19-35,12
2020-02-08,Pneumonia,36-50,19
2020-02-08,Pneumonia,nan,22
2020-02-08,Infections,19-35,3
2020-02-08,Cardiac Issues,nan,4
2020-02-09,Flu,66+,21
2020-02-09,Flu,51-65,24
2020-02-09,Flu,19-35,16
2020-02-09,Diabetes,66+,1
2020-02-09,Flu,36-50,22
2020-02-09,Pneumonia,51-65,27
2020-02-09,Infections,0-18,1
2020-02-09,Infections,nan,9
2020-02-09,Flu,0-18,13
2020-02-09,Diabetes,36-50,10
2020-02-09,Infections,66+,5
2020-02-09,Cardiac Issues,51-65,6
2020-02-09,Cardiac Issues,nan,13
2020-02-09,Pneumonia,0-18,16
2020-02-09,Diabetes,51-65,11
2020-02-09,Diabetes,66+,6
2020-02-09,Infections,36-50,13
2020-02-10,Pneumonia,36-50,11
2020-02-10,Flu,19-35,18
2020-02-10,Flu,19-35,12
2020-02-10,Infections,66+,6
2020-02-10,Flu,0-18,12
2020-02-10,Diabetes,19-35,1
2020-02-10,Infections,36-50,10
2020-02-10,Cardiac Issues,19-35,2
2020-02-10,Flu,36-50,12
2020-02-10,Infections,66+,9
2020-02-10,Flu,51-65,23
2020-02-10,Infections,19-35,11
2020-02-10,Flu,36-50,18
2020-02-10,Cardiac Issues,0-18,2
2020-02-10,Diabetes,19-35,9
2020-02-10,Flu,66+,20
2020-02-10,Cardiac Issues,19-35,8
2020-02-10,Diabetes,nan,8
2020-02-11,Infections,19-35,2
2020-02-11,Infections,51-65,13
2020-02-11,Diabetes,66+,13
2020-02-11,Flu,19-35,17
2020-02-11,Infections,nan,13
2020-02-11,Cardiac Issues,19-35,3
2020-02-11,Pneumonia,36-50,22
2020-02-11,Infections,0-18,6
2020-02-11,Cardiac Issues,51-65,1
2020-02-11,Cardiac Issues,36-50,9
2020-02-11,Infections,36-50,13
2020-02-11,Flu,66+,19
2020-02-11,Diabetes,36-50,6
2020-02-11,Diabetes,66+,11
2020-02-11,Infections,19-35,9
2020-02-12,Pneumonia,19-35,20
2020-02-12,Infections,nan,7
2020-02-12,Pneumonia,51-65,11
2020-02-12,Infections,66+,12
2020-02-12,Pneumonia,66+,23
2020-02-12,Cardiac Issues,0-18,9
2020-02-12,Flu,19-35,22
2020-02-13,Cardiac Issues,nan,7
2020-02-13,Pneumonia,0-18,11
2020-02-13,Diabetes,51-65,14
2020-02-13,Infections,66+,6
2020-02-13,Diabetes,51-65,4
2020-02-13,Pneumonia,51-65,26
2020-02-13,Diabetes,nan,1
2020-02-14,Flu,nan,27
2020-02-14,Pneumonia,nan,24
2020-02-14,Infections,51-65,4
2020-02-14,Cardiac Issues,36-50,4
2020-02-14,Infections,51-65,7
2020-02-14,Infections,36-50,1
2020-02-14,Cardiac Issues,36-50,10
2020-02-14,Pneumonia,19-35,23
2020-02-14,Pneumonia,66+,13
2020-02-14,Flu,36-50,22
2020-02-14,Flu,66+,20
2020-02-14,Diabetes,19-35,14
2020-02-14,Diabetes,nan,11
2020-02-14,Cardiac Issues,36-50,1
2020-02-15,Diabetes,51-65,13
2020-02-15,Infections,66+,11
2020-02-15,Diabetes,nan,3
2020-02-15,Flu,66+,12
2020-02-15,Cardiac Issues,0-18,10
2020-02-15,Diabetes,nan,2
2020-02-15,Infections,36-50,1
2020-02-15,Flu,51-65,27
2020-02-15,Diabetes,36-50,8
2020-02-15,Diabetes,nan,9
2020-02-15,Flu,66+,17
2020-02-15,Cardiac Issues,nan,2
2020-02-15,Diabetes,36-50,13
2020-02-15,Diabetes,66+,8
2020-02-15,Diabetes,19-35,3
2020-02-15,Diabetes,nan,9
2020-02-15,Flu,nan,21
2020-02-15,Diabetes,51-65,9
2020-02-16,Flu,51-65,11
2020-02-16,Cardiac Issues,66+,1
2020-02-16,Infections,19-35,14
2020-02-16,Pneumonia,nan,24
2020-02-16,Cardiac Issues,66+,9
2020-02-16,Flu,51-65,15
2020-02-16,Flu,36-50,28
2020-02-16,Flu,0-18,21
2020-02-16,Flu,nan,24
2020-02-16,Diabetes,51-65,1
2020-02-17,Pneumonia,51-65,10
2020-02-17,Pneumonia,0-18,10
2020-02-17,Flu,66+,10
2020-02-17,Infections,51-65,10
2020-02-17,Pneumonia,nan,16
2020-02-17,Pneumonia,nan,27
2020-02-17,Pneumonia,19-35,21
2020-02-17,Flu,36-50,12
2020-02-17,Cardiac Issues,nan,9
2020-02-17,Flu,0-18,27
2020-02-17,Diabetes,19-35,12
2020-02-17,Diabetes,nan,11
2020-02-17,Cardiac Issues,51-65,4
2020-02-17,Pneumonia,nan,12
2020-02-18,Flu,51-65,19
2020-02-18,Cardiac Issues,19-35,6
2020-02-18,Diabetes,51-65,13
2020-02-18,Flu,66+,28
2020-02-18,Pneumonia,36-50,23
2020-02-18,Diabetes,66+,8
2020-02-18,Infections,66+,7
2020-02-18,Cardiac Issues,51-65,2
2020-02-18,Pneumonia,36-50,14
2020-02-18,Flu,36-50,12
2020-02-18,Diabetes,19-35,3
2020-02-18,Cardiac Issues,66+,13
2020-02-18,Flu,51-65,26
2020-02-18,Infections,19-35,13
2020-02-18,Diabetes,66+,4
2020-02-18,Diabetes,51-65,14
2020-02-18,Diabetes,51-65,8
2020-02-18,Pneumonia,0-18,28
2020-02-18,Flu,51-65,11
2020-02-19,Pneumonia,19-35,13
2020-02-19,Pneumonia,36-50,28
2020-02-19,Pneumonia,nan,21
2020-02-19,Cardiac Issues,66+,2
2020-02-19,Infections,0-18,3
2020-02-19,Pneumonia,51-65,25
2020-02-19,Pneumonia,51-65,23
2020-02-19,Pneumonia,66+,14
2020-02-20,Infections,0-18,14
2020-02-20,Diabetes,66+,14
2020-02-20,Flu,51-65,11
2020-02-20,Flu,36-50,11
2020-02-20,Cardiac Issues,66+,5
2020-02-20,Flu,51-65,13
2020-02-20,Infections,36-50,10
2020-02-20,Cardiac Issues,nan,14
2020-02-20,Pneumonia,66+,19
2020-02-20,Diabetes,nan,9
2020-02-21,Infections,51-65,8
2020-02-21,Cardiac Issues,51-65,1
2020-02-21,Flu,nan,29
2020-02-21,Diabetes,0-18,11
2020-02-21,Infections,66+,12
2020-02-22,Flu,0-18,21
2020-02-22,Diabetes,nan,12
2020-02-22,Cardiac Issues,66+,4
2020-02-22,Pneumonia,nan,11
2020-02-22,Flu,66+,29
2020-02-22,Pneumonia,66+,10
2020-02-22,Cardiac Issues,nan,5
2020-02-22,Infections,36-50,5
2020-02-22,Flu,0-18,28
2020-02-23,Diabetes,19-35,4
2020-02-23,Infections,19-35,8
2020-02-23,Cardiac Issues,36-50,14
2020-02-23,Pneumonia,0-18,27
2020-02-23,Infections,0-18,7
2020-02-23,Cardiac Issues,19-35,7
2020-02-23,Diabetes,nan,4
2020-02-23,Infections,51-65,2
2020-02-23,Pneumonia,51-65,17
2020-02-23,Pneumonia,66+,10
2020-02-23,Infections,nan,5
2020-02-23,Pneumonia,0-18,20
2020-02-23,Pneumonia,nan,27
2020-02-23,Pneumonia,0-18,17
2020-02-23,Flu,51-65,17
2020-02-23,Flu,nan,13
2020-02-23,Flu,0-18,28
2020-02-23,Infections,66+,9
2020-02-24,Diabetes,19-35,2
2020-02-24,Flu,0-18,18
2020-02-24,Flu,66+,18
2020-02-24,Infections,66+,9
2020-02-24,Cardiac Issues,51-65,2
2020-02-24,Infections,nan,14
2020-02-24,Diabetes,nan,3
2020-02-24,Pneumonia,19-35,22
2020-02-24,Flu,36-50,22
2020-02-24,Cardiac Issues,0-18,8
2020-02-24,Flu,66+,24
2020-02-24,Flu,51-65,16
2020-02-24,Infections,36-50,12
2020-02-24,Infections,0-18,1
2020-02-25,Flu,36-50,21
2020-02-25,Pneumonia,36-50,12
2020-02-25,Pneumonia,19-35,23
2020-02-25,Flu,36-50,17
2020-02-25,Pneumonia,nan,21
2020-02-26,Pneumonia,66+,24
2020-02-26,Diabetes,51-65,11
2020-02-26,Pneumonia,51-65,20
2020-02-26,Infections,66+,7
2020-02-26,Cardiac Issues,66+,12
2020-02-26,Flu,51-65,20
2020-02-26,Cardiac Issues,51-65,5
2020-02-26,Infections,nan,3
2020-02-26,Pneumonia,nan,13
2020-02-27,Diabetes,nan,11
2020-02-27,Infections,51-65,3
2020-02-27,Pneumonia,51-65,27
2020-02-27,Pneumonia,0-18,22
2020-02-27,Diabetes,19-35,9
2020-02-27,Cardiac Issues,51-65,10
2020-02-27,Infections,0-18,10
2020-02-27,Infections,19-35,8
2020-02-27,Diabetes,51-65,4
2020-02-28,Flu,51-65,22
2020-02-28,Pneumonia,36-50,22
2020-02-28,Infections,nan,12
2020-02-28,Flu,19-35,18
2020-02-28,Pneumonia,19-35,19
2020-02-28,Flu,19-35,14
2020-02-28,Diabetes,19-35,8
2020-02-28,Cardiac Issues,51-65,12
2020-02-28,Pneumonia,0-18,27
2020-02-28,Cardiac Issues,51-65,10
2020-02-29,Pneumonia,66+,24
2020-02-29,Flu,36-50,21
2020-02-29,Pneumonia,0-18,26
2020-02-29,Infections,36-50,12
2020-02-29,Cardiac Issues,19-35,9
2020-03-01,Infections,66+,9
2020-03-01,Flu,19-35,3
2020-03-01,Infections,19-35,3
2020-03-01,Pneumonia,nan,13
2020-03-01,Flu,0-18,11
2020-03-01,Diabetes,nan,28
2020-03-01,Diabetes,19-35,15
2020-03-01,Pneumonia,66+,14
2020-03-01,Diabetes,66+,10
2020-03-01,Diabetes,36-50,18
2020-03-01,Flu,36-50,6
2020-03-01,Flu,51-65,13
2020-03-01,Flu,51-65,2
2020-03-01,Diabetes,66+,21
2020-03-01,Cardiac Issues,66+,8
2020-03-01,Pneumonia,36-50,6
2020-03-01,Diabetes,66+,12
2020-03-01,Pneumonia,51-65,2
2020-03-02,Flu,36-50,2
2020-03-02,Diabetes,nan,21
2020-03-02,Pneumonia,51-65,5
2020-03-02,Infections,66+,9
2020-03-02,Pneumonia,nan,14
2020-03-02,Flu,51-65,1
2020-03-02,Diabetes,51-65,12
2020-03-02,Infections,51-65,3
